,Search String,Title,Heading,Link,Date,Search Engine
45,IRFC and Stocks,"Rail stocks RVNL, IRFC, IRCON jump up to 15% to new highs; soar up to 75% just in Jan ahead of Budget | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/railway-stocks-jump-up-to-15-in-intra-day-deals-to-their-new-highs-soar-up-to-75-just-in-jan-ahead-of-budget-11705726621426.html&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgDEAI&usg=AOvVaw2XD_zVyusSCVycYe1AOKOM,2024-04-10 10:35:46.933775,Google
46,IRFC and Stocks,"Hot stocks on March 27: Suzlon Energy, Reliance Industries, IRFC, Wockhardt, TD Power and more",BUSINESS TODAY,/url?q=https://www.businesstoday.in/visualstories/stock/hot-stocks-on-march-27-suzlon-energy-reliance-industries-irfc-wockhardt-td-power-and-more-117642-27-03-2024&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgFEAI&usg=AOvVaw3JqDiTYn_Td0T3cmWB6uh1,2024-04-10 10:35:46.933797,Google
47,IRFC and Stocks,"IRFC, IRCON, HAL, BEL shares: Can interim Budget 2024 give railways, defence stocks a shot in arm?",Business Today,/url?q=https://www.businesstoday.in/markets/trending-stocks/story/irfc-ircon-hal-bel-shares-can-interim-budget-2024-give-railways-defence-stocks-a-shot-in-arm-414701-2024-01-24&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgCEAI&usg=AOvVaw1mw-wD7fkZBUiyqu9-BVdh,2024-04-10 10:35:46.933812,Google
48,IRFC and Stocks,"IRFC shares slip 18% from record high, log highest turnover",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-fall-record-high-target-price-market-crash-414537-2024-01-23&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgAEAI&usg=AOvVaw1QPVAdZE7wh03IWw19E1HG,2024-04-10 10:35:46.933826,Google
49,IRFC and Stocks,"IRFC zooms 14% to a new high, stock up 287% in a year",Moneycontrol,/url?q=https://www.moneycontrol.com/news/business/markets/irfc-zooms-14-to-a-new-high-stock-up-287-in-a-year-12052621.html&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgIEAI&usg=AOvVaw2qN6Ijxz8Bm3iqIxkbQc8b,2024-04-10 10:35:46.933851,Google
50,IRCTC and Stocks,IRCTC shares up 0.14% as Nifty falls,The Economic Times,/url?q=https://m.economictimes.com/markets/stocks/stock-watch/irctc-shares-up-0-14-as-nifty-falls/articleshow/109157752.cms&sa=U&ved=2ahUKEwi9lKqi8LaFAxWHXGwGHZ8eD10QxfQBegQIBRAC&usg=AOvVaw1Z4mT8NLmtSOcGK7cqKqk9,2024-04-10 10:16:46.933886,Google
51,IRCTC and Stocks,"RVNL, IRCTC, Persistent & Rainbow Children's: What Kiran Jani of Jainam Broking says on these 4 stocks",Business Today,/url?q=https://www.businesstoday.in/markets/stocks/story/rvnl-irctc-persistent-rainbow-childrens-what-kiran-jani-of-jainam-broking-says-on-these-4-stocks-424432-2024-04-05&sa=U&ved=2ahUKEwi9lKqi8LaFAxWHXGwGHZ8eD10QxfQBegQICRAC&usg=AOvVaw04hxZItP94aQP4gaZ-_Nmn,2024-04-10 10:33:46.933904,Google
52,IRCTC and Stocks,"Trade Spotlight | How you should trade in SAIL, Bharat Electronics, IRCTC stocks today",Moneycontrol,/url?q=https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-you-should-trade-in-sail-bharat-electronics-irctc-stocks-today-12564251.html&sa=U&ved=2ahUKEwi9lKqi8LaFAxWHXGwGHZ8eD10QxfQBegQICBAC&usg=AOvVaw0dhuJXNVXlgcLjAmYezhVv,2024-04-10 10:36:46.933918,Google
53,IRCTC and Stocks,"IRCTC share price Today Live Updates : IRCTC closed today at ₹1002.75, up 0.49% from yesterday's ₹997.9 | Mint",mint,/url?q=https://www.livemint.com/market/live-blog/irctc-share-price-today-latest-live-updates-on-05-apr-2024-11712284211157.html&sa=U&ved=2ahUKEwi9lKqi8LaFAxWHXGwGHZ8eD10QxfQBegQIAxAC&usg=AOvVaw2i4MRO43Z6hgOPuuqVYRpe,2024-04-10 10:33:46.933932,Google
54,IRCTC and Stocks,IRCTC shares up 0.14% as Nifty gains,The Economic Times,/url?q=https://m.economictimes.com/irctc-shares-up-0-14-as-nifty-gains/articleshow/109157769.cms&sa=U&ved=2ahUKEwi9lKqi8LaFAxWHXGwGHZ8eD10QxfQBegQIBBAC&usg=AOvVaw3dYF181bVySyglwJ8t1g5I,2024-04-10 10:16:46.933947,Google
